,Date,Deaths_raw,Deaths,,,
,1-Apr-20,2,,,,
,2-Apr-20,12,,,,
,3-Apr-20,1,,,,
,4-Apr-20,10,,,,
,5-Apr-20,7,,,,
,6-Apr-20,1,,,,
,7-Apr-20,6,,,,
,8-Apr-20,37,,,,
,9-Apr-20,13,,,,
,10-Apr-20,19,,,,
,11-Apr-20,22,,,,
,12-Apr-20,40,,,,
,13-Apr-20,36,,,,
,14-Apr-20,35,,,,
,15-Apr-20,67,,,,
,16-Apr-20,53,,,,
,17-Apr-20,77,,,,
,18-Apr-20,66,,,,
,19-Apr-20,100,,,,
,20-Apr-20,85,,,,
,21-Apr-20,117,,,,
,22-Apr-20,99,,,,
,23-Apr-20,119,,,,
,24-Apr-20,120,,,,
,25-Apr-20,89,,,,
,26-Apr-20,135,,,,
,27-Apr-20,111,,,,
,28-Apr-20,128,,,,
,29-Apr-20,123,,,,
,30-Apr-20,105,,,,
,1-May-20,118,,,,
,2-May-20,84,,,,
,3-May-20,90,,,,
,4-May-20,86,,,,
,5-May-20,78,,,,
,6-May-20,60,,,,
,7-May-20,84,,,,
,8-May-20,81,,,,
,9-May-20,66,,,,
,10-May-20,31,,,,
,11-May-20,67,,,,
,12-May-20,50,,,,
,13-May-20,46,,,,
,14-May-20,38,,,,
,15-May-20,40,,,,
,16-May-20,28,,,,
,17-May-20,35,,,,
,18-May-20,23,,,,
,19-May-20,36,,,,
,20-May-20,41,,,,
,21-May-20,23,,,,
,22-May-20,28,,,,
,23-May-20,19,,,,
,24-May-20,12,,,,
,25-May-20,10,,,,
,26-May-20,18,,,,
,27-May-20,24,,,,
,28-May-20,20,,,,
,29-May-20,12,,,,
,30-May-20,5,,,,
,31-May-20,14,,,,
,1-Jun-20,10,,,,
,2-Jun-20,6,,,,
,3-Jun-20,10,,,,
,4-Jun-20,8,,,,
,5-Jun-20,16,,,,
,6-Jun-20,11,,,,
,7-Jun-20,-3,,,,
,8-Jun-20,-1,,,,
,9-Jun-20,7,,,,
,10-Jun-20,7,,,,
,11-Jun-20,17,,,,
,12-Jun-20,5,,,,
,13-Jun-20,5,,,,
,14-Jun-20,-9,,,,
,15-Jun-20,12,,,,
,16-Jun-20,7,,,,
,17-Jun-20,7,,,,
,18-Jun-20,5,,,,
,19-Jun-20,-2,,,,
,20-Jun-20,6,,,,
,21-Jun-20,-5,,,,
,22-Jun-20,3,,,,
,23-Jun-20,2,,,,
,24-Jun-20,3,,,,
,25-Jun-20,-6,,,,
,26-Jun-20,-6,,,,
,27-Jun-20,-10,,,,
,28-Jun-20,-3,,,,
,29-Jun-20,2,,,,
,30-Jun-20,-15,,,,
,1-Jul-20,8,,,,
,2-Jul-20,-6,,,,
,3-Jul-20,-2,,,,
,4-Jul-20,-8,,,,
,5-Jul-20,-6,,,,
,6-Jul-20,-2,,,,
,7-Jul-20,6,,,,
,8-Jul-20,-8,,,,
,9-Jul-20,-8,,,,
,10-Jul-20,-4,,,,
,11-Jul-20,12,,,,
,12-Jul-20,-5,,,,
,13-Jul-20,-6,,,,
,14-Jul-20,-1,,,,
,15-Jul-20,10,,,,
,16-Jul-20,-2,,,,
,17-Jul-20,-2,,,,
,18-Jul-20,7,,,,
,19-Jul-20,2,,,,
,20-Jul-20,-1,,,,
,21-Jul-20,9,,,,
,22-Jul-20,10,,,,
,23-Jul-20,-5,,,,
,24-Jul-20,12,,,,
,25-Jul-20,7,,,,
,26-Jul-20,-11,,,,
,27-Jul-20,-4,,,,
,28-Jul-20,-7,,,,
,29-Jul-20,4,,,,
,30-Jul-20,4,,,,
,31-Jul-20,-5,,,,
,1-Aug-20,-7,,,,
,2-Aug-20,-9,,,,
,3-Aug-20,-2,,,,
,4-Aug-20,9,,,,
,5-Aug-20,7,,,,
,6-Aug-20,1,,,,
,7-Aug-20,-11,,,,
,8-Aug-20,-7,,,,
,9-Aug-20,2,,,,
,10-Aug-20,-1,,,,
,11-Aug-20,3,,,,
,12-Aug-20,-2,,,,
,13-Aug-20,0,,,,
,14-Aug-20,0,,,,
,15-Aug-20,5,,,,
,16-Aug-20,-8,,,,
,17-Aug-20,1,,,,
,18-Aug-20,-2,,,,
,19-Aug-20,5,,,,
,20-Aug-20,1,,,,
,21-Aug-20,-13,,,,
,22-Aug-20,-3,,,,
,23-Aug-20,4,,,,
,24-Aug-20,-9,,,,
,25-Aug-20,-11,,,,
,26-Aug-20,5,,,,
,27-Aug-20,11,,,,
,28-Aug-20,8,,,,
,29-Aug-20,-2,,,,
,30-Aug-20,-8,,,,
,31-Aug-20,-8,,,,
,1-Sep-20,-2,,,,
,2-Sep-20,4,,,,
,3-Sep-20,-1,,,,
,4-Sep-20,9,,,,
,5-Sep-20,-5,,,,
,6-Sep-20,-4,,,,
,7-Sep-20,11,,,,
,8-Sep-20,-5,,,,
,9-Sep-20,6,,,,
,10-Sep-20,1,,,,
,11-Sep-20,3,,,,
,12-Sep-20,-3,,,,
,13-Sep-20,-9,,,,
,14-Sep-20,-2,,,,
,15-Sep-20,1,,,,
,16-Sep-20,3,,,,
,17-Sep-20,3,,,,
,18-Sep-20,4,,,,
,19-Sep-20,-8,,,,
,20-Sep-20,6,,,,
,21-Sep-20,14,,,,
,22-Sep-20,7,,,,
,23-Sep-20,2,,,,
,24-Sep-20,0,,,,
,25-Sep-20,1,,,,
,26-Sep-20,14,,,,
,27-Sep-20,-8,,,,
,28-Sep-20,0,,,,
,29-Sep-20,-4,,,,
,30-Sep-20,-2,,,,
,1-Oct-20,12,,,,
,2-Oct-20,-1,,,,
,3-Oct-20,14,,,,
,4-Oct-20,6,,,,
,5-Oct-20,12,,,,
,6-Oct-20,16,,,,
,7-Oct-20,-1,,,,
,8-Oct-20,5,,,,
,9-Oct-20,6,,,,
,10-Oct-20,13,,,,
,11-Oct-20,3,,,,
,12-Oct-20,-2,,,,
,13-Oct-20,3,,,,
,14-Oct-20,0,,,,
,15-Oct-20,7,,,,
,16-Oct-20,3,,,,
,17-Oct-20,17,,,,
,18-Oct-20,4,,,,
,19-Oct-20,-10,,,,
,20-Oct-20,6,,,,
,21-Oct-20,6,,,,
,22-Oct-20,0,,,,
,23-Oct-20,2,,,,
,24-Oct-20,-1,,,,
,25-Oct-20,-10,,,,
,26-Oct-20,-2,,,,
,27-Oct-20,4,,,,
,28-Oct-20,#N/A,,,,
,29-Oct-20,#N/A,,,,
,30-Oct-20,#N/A,,,,
,31-Oct-20,#N/A,,,,
,1-Nov-20,#N/A,,,,
,2-Nov-20,#N/A,,,,
,3-Nov-20,#N/A,,,,
,4-Nov-20,#N/A,,,,
,5-Nov-20,#N/A,,,,
,6-Nov-20,#N/A,,,,
,7-Nov-20,#N/A,,,,
,8-Nov-20,#N/A,,,,
,9-Nov-20,#N/A,,,,
,10-Nov-20,#N/A,,,,
,11-Nov-20,#N/A,,,,
,12-Nov-20,#N/A,,,,
,13-Nov-20,#N/A,,,,
,14-Nov-20,#N/A,,,,
,15-Nov-20,#N/A,,,,
,16-Nov-20,#N/A,,,,
,17-Nov-20,#N/A,,,,
,18-Nov-20,#N/A,,,,
,19-Nov-20,#N/A,,,,
,20-Nov-20,#N/A,,,,
,21-Nov-20,#N/A,,,,
,22-Nov-20,#N/A,,,,
,23-Nov-20,-2,,,,
,24-Nov-20,#N/A,,,,
,25-Nov-20,1,,,,
,26-Nov-20,#N/A,,,,
,27-Nov-20,#N/A,,,,
,28-Nov-20,#N/A,,,,
,29-Nov-20,#N/A,,,,
,30-Nov-20,7,,,,
,1-Dec-20,9,,,,
,2-Dec-20,0,,,,
,3-Dec-20,14,,,,
,4-Dec-20,11,,,,
,5-Dec-20,0,,,,
,6-Dec-20,-1,,,,
,7-Dec-20,6,,,,
,8-Dec-20,2,,,,
,9-Dec-20,1,,,,
,10-Dec-20,7,,,,
,11-Dec-20,9,,,,
,12-Dec-20,-3,,,,
,13-Dec-20,5,,,,
,14-Dec-20,7,,,,
,15-Dec-20,13,,,,
,16-Dec-20,7,,,,
,17-Dec-20,16,,,,
,18-Dec-20,12,,,,
,19-Dec-20,7,,,,
,20-Dec-20,16,,,,
,21-Dec-20,19,,,,
,22-Dec-20,7,,,,
,23-Dec-20,10,,,,
,24-Dec-20,24,,,,
,25-Dec-20,9,,,,
,26-Dec-20,2,,,,
,27-Dec-20,16,,,,
,28-Dec-20,17,,,,
,29-Dec-20,29,,,,
,30-Dec-20,25,,,,
,31-Dec-20,23,,,,
,1-Jan-21,25,,,,
,2-Jan-21,43,,,,
,3-Jan-21,38,,,,
,4-Jan-21,32,,,,
,5-Jan-21,57,,,,
,6-Jan-21,75,,,,
,7-Jan-21,77,,,,
,8-Jan-21,79,,,,
,9-Jan-21,96,,,,
,10-Jan-21,110,,,,
,11-Jan-21,116,,,,
,12-Jan-21,133,,,,
,13-Jan-21,165,,,,
