,Date,Week,Deaths,Var,Mean_all_samples
0,2020-06-30,0,1248,7811.608128213141,1248
1,2020-07-01,0,1253,6181.097112685851,1252
2,2020-07-02,0,1257,4820.346598409093,1257
3,2020-07-03,0,1262,3722.3875052105222,1262
4,2020-07-04,0,1267,2885.9379906558265,1266
5,2020-07-05,0,1271,2315.830754307351,1271
6,2020-07-06,0,1276,2008.4811503056824,1275
7,2020-07-07,1,1280,1965.0764969779061,1280
8,2020-07-08,1,1285,2184.8040348409013,1284
9,2020-07-09,1,1289,2669.0666103932117,1289
10,2020-07-10,1,1294,3414.36430735029,1293
11,2020-07-11,1,1287,2590.151718771708,1286
12,2020-07-12,1,1279,2034.1899247950553,1279
13,2020-07-13,1,1272,1746.269674690843,1271
14,2020-07-14,2,1265,1727.518799326105,1264
15,2020-07-15,2,1257,1977.6336721897985,1257
16,2020-07-16,2,1250,2496.106252431575,1249
17,2020-07-17,2,1242,3281.7463693205423,1242
18,2020-07-18,2,1241,2499.867006912606,1241
19,2020-07-19,2,1240,1993.7714019730472,1240
20,2020-07-20,2,1239,1761.7779046825085,1238
21,2020-07-21,3,1237,1805.34409319856,1237
22,2020-07-22,3,1236,2123.6523327428044,1236
23,2020-07-23,3,1235,2718.0905370293176,1234
24,2020-07-24,3,1234,3587.4204140614233,1233
25,2020-07-25,3,1223,2695.377990134773,1223
26,2020-07-26,3,1213,2056.719765874671,1212
27,2020-07-27,3,1202,1669.7560092746962,1202
28,2020-07-28,4,1192,1536.3608751910508,1191
29,2020-07-29,4,1182,1655.578907704602,1181
30,2020-07-30,4,1171,2026.829301097676,1171
31,2020-07-31,4,1161,2652.8624815895537,1160
32,2020-08-01,4,1157,2020.8080005557845,1157
33,2020-08-02,4,1153,1616.5677191885488,1153
34,2020-08-03,4,1150,1438.1201326941778,1149
35,2020-08-04,5,1146,1485.2698747742102,1146
36,2020-08-05,5,1143,1759.3885341114324,1142
37,2020-08-06,5,1139,2258.9476441572874,1138
38,2020-08-07,5,1135,2984.590206857024,1134
39,2020-08-08,5,1125,2250.133979262194,1124
40,2020-08-09,5,1115,1742.490568292341,1114
41,2020-08-10,5,1104,1460.9053744615824,1104
42,2020-08-11,6,1094,1404.9270930596106,1094
43,2020-08-12,6,1083,1575.316242184244,1083
44,2020-08-13,6,1073,1971.0399993052647,1073
45,2020-08-14,6,1062,2594.4807774072547,1063
46,2020-08-15,6,1052,2006.2894815548152,1052
47,2020-08-16,6,1042,1595.9573259691538,1042
48,2020-08-17,6,1031,1365.2316241142134,1031
49,2020-08-18,7,1021,1311.975314540783,1021
50,2020-08-19,7,1010,1436.0079025983043,1010
51,2020-08-20,7,1000,1739.3369944073936,999
52,2020-08-21,7,989,2222.055623176322,989
53,2020-08-22,7,986,1685.6422335695415,985
54,2020-08-23,7,982,1330.6560372377373,981
55,2020-08-24,7,979,1154.2533694594956,978
56,2020-08-25,8,975,1157.1350555787126,974
57,2020-08-26,8,971,1341.385229783238,971
58,2020-08-27,8,968,1704.3301290468253,967
59,2020-08-28,8,964,2245.9758189176055,963
60,2020-08-29,8,955,1690.3421731276933,954
61,2020-08-30,8,945,1301.7032068917574,944
62,2020-08-31,8,935,1078.4055299082952,935
63,2020-09-01,9,926,1020.1712239474779,926
64,2020-09-02,9,916,1127.4340209462298,916
65,2020-09-03,9,907,1399.3686937265522,907
66,2020-09-04,9,897,1836.903042239823,897
67,2020-09-05,9,888,1387.7012489579001,888
68,2020-09-06,9,878,1086.8774070793393,878
69,2020-09-07,9,868,932.7547304432396,868
70,2020-09-08,10,859,927.3668688342358,858
71,2020-09-09,10,849,1069.1802139780452,849
72,2020-09-10,10,840,1358.8286445741292,839
73,2020-09-11,10,830,1797.4903735931503,829
74,2020-09-12,10,821,1378.2232831388185,820
75,2020-09-13,10,812,1094.179157808807,811
76,2020-09-14,10,802,943.5229218771657,802
77,2020-09-15,11,793,925.8702151938292,792
78,2020-09-16,11,784,1042.0915921564542,783
79,2020-09-17,11,774,1290.9375571418645,774
80,2020-09-18,11,765,1674.3724989579118,765
81,2020-09-19,11,759,1291.0616861192161,758
82,2020-09-20,11,752,1023.9732659441432,752
83,2020-09-21,11,746,872.2880616923711,746
84,2020-09-22,12,740,835.1895928859145,739
85,2020-09-23,12,734,914.7594787758727,733
86,2020-09-24,12,727,1108.8025781575648,727
87,2020-09-25,12,721,1420.1356058079714,721
88,2020-09-26,12,725,1107.1240621092106,724
89,2020-09-27,12,728,901.9560301167164,728
90,2020-09-28,12,732,807.3943266291495,731
91,2020-09-29,13,735,823.5350797207113,735
92,2020-09-30,13,739,948.929323155482,738
93,2020-10-01,13,742,1186.0086140058374,742
94,2020-10-02,13,746,1533.2882157496194,745
95,2020-10-03,13,734,1185.436360810056,733
96,2020-10-04,13,722,944.0163816520777,721
97,2020-10-05,13,709,809.4766525982974,709
98,2020-10-06,14,697,778.9996997012631,697
99,2020-10-07,14,685,854.8190522092588,685
100,2020-10-08,14,673,1036.1054995136856,673
101,2020-10-09,14,661,1322.5172597957394,661
102,2020-10-10,14,647,1024.3228009934699,646
103,2020-10-11,14,632,809.6719867653188,632
104,2020-10-12,14,618,679.6770485966375,618
105,2020-10-13,15,604,633.9733993330553,604
106,2020-10-14,15,590,672.8493532027226,589
107,2020-10-15,15,576,793.8809571696532,575
108,2020-10-16,15,561,999.5680073294432,561
109,2020-10-17,15,557,790.7053709879114,556
110,2020-10-18,15,552,648.3442990134794,552
111,2020-10-19,15,548,570.9041918507749,547
112,2020-10-20,16,543,557.9800039947196,543
113,2020-10-21,16,539,610.95917031402,538
114,2020-10-22,16,534,729.5354147561491,534
115,2020-10-23,16,530,912.927976761151,529
116,2020-10-24,16,522,738.1628567458665,522
117,2020-10-25,16,515,620.5274947894961,515
118,2020-10-26,16,508,559.9318172502443,508
119,2020-10-27,17,501,555.6149221898021,500
120,2020-10-28,17,493,607.59622064749,493
121,2020-10-29,17,486,716.9150034736688,486
122,2020-10-30,17,479,881.9844433444486,479
123,2020-10-31,17,479,732.3199234055857,478
124,2020-11-01,17,478,647.9574946158108,478
125,2020-11-02,17,478,627.9689410518271,477
126,2020-11-03,18,477,674.5239389676236,477
127,2020-11-04,18,477,785.7198388217312,477
128,2020-11-05,18,477,961.3326592677491,476
129,2020-11-06,18,476,1203.6784408434044,476
130,2020-11-07,18,476,1048.0579114561626,475
131,2020-11-08,18,475,966.1410655481452,474
132,2020-11-09,18,474,958.9548950951802,473
133,2020-11-10,19,473,1024.9139083993327,473
134,2020-11-11,19,472,1165.5926828887054,472
135,2020-11-12,19,471,1380.1134910379326,471
136,2020-11-13,19,470,1668.2361940739195,470
137,2020-11-14,19,468,1611.5970480755868,468
138,2020-11-15,19,466,1776.4927037307175,466
139,2020-11-16,19,464,2165.0757371126824,464
