,Date,Week,Deaths
0,2020-06-30,0.0,1287
1,2020-07-01,0.0,1227
2,2020-07-02,0.0,1255
3,2020-07-03,0.0,1202
4,2020-07-04,0.0,1201
5,2020-07-05,0.0,1281
6,2020-07-06,0.0,1259
7,2020-07-07,1.0,1319
8,2020-07-08,1.0,1281
9,2020-07-09,1.0,1258
10,2020-07-10,1.0,1243
11,2020-07-11,1.0,1171
12,2020-07-12,1.0,1337
13,2020-07-13,1.0,1297
14,2020-07-14,2.0,1312
15,2020-07-15,2.0,1300
16,2020-07-16,2.0,1263
17,2020-07-17,2.0,1316
18,2020-07-18,2.0,1286
19,2020-07-19,2.0,1241
20,2020-07-20,2.0,1217
21,2020-07-21,3.0,1346
22,2020-07-22,3.0,1320
23,2020-07-23,3.0,1231
24,2020-07-24,3.0,1191
25,2020-07-25,3.0,1288
26,2020-07-26,3.0,1154
27,2020-07-27,3.0,1227
28,2020-07-28,4.0,1180
29,2020-07-29,4.0,1237
30,2020-07-30,4.0,1205
31,2020-07-31,4.0,1174
32,2020-08-01,4.0,1187
33,2020-08-02,4.0,1133
34,2020-08-03,4.0,1171
35,2020-08-04,5.0,1171
36,2020-08-05,5.0,1125
37,2020-08-06,5.0,1156
38,2020-08-07,5.0,1122
39,2020-08-08,5.0,1123
40,2020-08-09,5.0,1107
41,2020-08-10,5.0,1119
42,2020-08-11,6.0,1041
43,2020-08-12,6.0,1139
44,2020-08-13,6.0,1065
45,2020-08-14,6.0,1061
46,2020-08-15,6.0,1094
47,2020-08-16,6.0,1064
48,2020-08-17,6.0,1025
49,2020-08-18,7.0,1003
50,2020-08-19,7.0,1005
51,2020-08-20,7.0,970
52,2020-08-21,7.0,958
53,2020-08-22,7.0,1003
54,2020-08-23,7.0,944
55,2020-08-24,7.0,1018
56,2020-08-25,8.0,941
57,2020-08-26,8.0,970
58,2020-08-27,8.0,969
59,2020-08-28,8.0,982
60,2020-08-29,8.0,919
61,2020-08-30,8.0,983
62,2020-08-31,8.0,1009
63,2020-09-01,9.0,952
64,2020-09-02,9.0,919
65,2020-09-03,9.0,874
66,2020-09-04,9.0,925
67,2020-09-05,9.0,852
68,2020-09-06,9.0,857
69,2020-09-07,9.0,897
70,2020-09-08,10.0,883
71,2020-09-09,10.0,787
72,2020-09-10,10.0,786
73,2020-09-11,10.0,885
74,2020-09-12,10.0,811
75,2020-09-13,10.0,824
76,2020-09-14,10.0,819
77,2020-09-15,11.0,779
78,2020-09-16,11.0,778
79,2020-09-17,11.0,769
80,2020-09-18,11.0,744
81,2020-09-19,11.0,775
82,2020-09-20,11.0,696
83,2020-09-21,11.0,725
84,2020-09-22,12.0,667
85,2020-09-23,12.0,664
86,2020-09-24,12.0,706
87,2020-09-25,12.0,733
88,2020-09-26,12.0,706
89,2020-09-27,12.0,678
90,2020-09-28,12.0,681
91,2020-09-29,13.0,747
92,2020-09-30,13.0,666
93,2020-10-01,13.0,720
94,2020-10-02,13.0,746
95,2020-10-03,13.0,697
96,2020-10-04,13.0,702
97,2020-10-05,13.0,691
98,2020-10-06,14.0,658
99,2020-10-07,14.0,659
100,2020-10-08,14.0,665
101,2020-10-09,14.0,652
102,2020-10-10,14.0,651
103,2020-10-11,14.0,566
104,2020-10-12,14.0,522
105,2020-10-13,15.0,553
106,2020-10-14,15.0,560
107,2020-10-15,15.0,551
108,2020-10-16,15.0,529
109,2020-10-17,15.0,460
110,2020-10-18,15.0,481
111,2020-10-19,15.0,502
112,2020-10-20,16.0,495
113,2020-10-21,16.0,522
114,2020-10-22,16.0,458
115,2020-10-23,16.0,484
116,2020-10-24,16.0,426
117,2020-10-25,16.0,520
118,2020-10-26,16.0,483
119,2020-10-27,17.0,466
120,2020-10-28,17.0,460
121,2020-10-29,17.0,435
122,2020-10-30,17.0,449
123,2020-10-31,17.0,399
124,2020-11-01,17.0,398
125,2020-11-02,17.0,398
126,2020-11-03,18.0,423
127,2020-11-04,18.0,443
128,2020-11-05,18.0,396
129,2020-11-06,18.0,398
130,2020-11-07,18.0,391
131,2020-11-08,18.0,389
132,2020-11-09,18.0,420
133,2020-11-10,19.0,390
134,2020-11-11,19.0,419
135,2020-11-12,19.0,394
136,2020-11-13,19.0,378
137,2020-11-14,19.0,352
138,2020-11-15,19.0,336
139,2020-11-16,19.0,389
140,2020-11-17,20.0,300
141,2020-11-18,20.0,275
142,2020-11-19,20.0,268
143,2020-11-20,20.0,167
144,2020-11-21,20.0,153
145,2020-11-22,20.0,128
146,2020-11-23,20.0,36
