,Date,Week,Deaths
0,2020-06-30,0.0,1298
1,2020-07-01,0.0,1240
2,2020-07-02,0.0,1262
3,2020-07-03,0.0,1218
4,2020-07-04,0.0,1214
5,2020-07-05,0.0,1291
6,2020-07-06,0.0,1273
7,2020-07-07,1.0,1334
8,2020-07-08,1.0,1298
9,2020-07-09,1.0,1278
10,2020-07-10,1.0,1259
11,2020-07-11,1.0,1182
12,2020-07-12,1.0,1354
13,2020-07-13,1.0,1311
14,2020-07-14,2.0,1324
15,2020-07-15,2.0,1315
16,2020-07-16,2.0,1273
17,2020-07-17,2.0,1332
18,2020-07-18,2.0,1307
19,2020-07-19,2.0,1257
20,2020-07-20,2.0,1236
21,2020-07-21,3.0,1368
22,2020-07-22,3.0,1331
23,2020-07-23,3.0,1239
24,2020-07-24,3.0,1205
25,2020-07-25,3.0,1303
26,2020-07-26,3.0,1170
27,2020-07-27,3.0,1243
28,2020-07-28,4.0,1193
29,2020-07-29,4.0,1250
30,2020-07-30,4.0,1221
31,2020-07-31,4.0,1185
32,2020-08-01,4.0,1198
33,2020-08-02,4.0,1148
34,2020-08-03,4.0,1193
35,2020-08-04,5.0,1179
36,2020-08-05,5.0,1158
37,2020-08-06,5.0,1188
38,2020-08-07,5.0,1139
39,2020-08-08,5.0,1139
40,2020-08-09,5.0,1122
41,2020-08-10,5.0,1138
42,2020-08-11,6.0,1068
43,2020-08-12,6.0,1158
44,2020-08-13,6.0,1077
45,2020-08-14,6.0,1081
46,2020-08-15,6.0,1109
47,2020-08-16,6.0,1083
48,2020-08-17,6.0,1039
49,2020-08-18,7.0,1027
50,2020-08-19,7.0,1017
51,2020-08-20,7.0,989
52,2020-08-21,7.0,978
53,2020-08-22,7.0,1027
54,2020-08-23,7.0,970
55,2020-08-24,7.0,1036
56,2020-08-25,8.0,961
57,2020-08-26,8.0,990
58,2020-08-27,8.0,997
59,2020-08-28,8.0,1008
60,2020-08-29,8.0,942
61,2020-08-30,8.0,1006
62,2020-08-31,8.0,1026
63,2020-09-01,9.0,985
64,2020-09-02,9.0,946
65,2020-09-03,9.0,899
66,2020-09-04,9.0,955
67,2020-09-05,9.0,886
68,2020-09-06,9.0,882
69,2020-09-07,9.0,917
70,2020-09-08,10.0,904
71,2020-09-09,10.0,818
72,2020-09-10,10.0,826
73,2020-09-11,10.0,909
74,2020-09-12,10.0,843
75,2020-09-13,10.0,855
76,2020-09-14,10.0,848
77,2020-09-15,11.0,817
78,2020-09-16,11.0,794
79,2020-09-17,11.0,794
80,2020-09-18,11.0,787
81,2020-09-19,11.0,800
82,2020-09-20,11.0,719
83,2020-09-21,11.0,758
84,2020-09-22,12.0,705
85,2020-09-23,12.0,697
86,2020-09-24,12.0,742
87,2020-09-25,12.0,754
88,2020-09-26,12.0,729
89,2020-09-27,12.0,701
90,2020-09-28,12.0,718
91,2020-09-29,13.0,779
92,2020-09-30,13.0,698
93,2020-10-01,13.0,754
94,2020-10-02,13.0,777
95,2020-10-03,13.0,725
96,2020-10-04,13.0,742
97,2020-10-05,13.0,736
98,2020-10-06,14.0,699
99,2020-10-07,14.0,686
100,2020-10-08,14.0,695
101,2020-10-09,14.0,695
102,2020-10-10,14.0,691
103,2020-10-11,14.0,615
104,2020-10-12,14.0,574
105,2020-10-13,15.0,589
106,2020-10-14,15.0,597
107,2020-10-15,15.0,592
108,2020-10-16,15.0,572
109,2020-10-17,15.0,486
110,2020-10-18,15.0,531
111,2020-10-19,15.0,543
112,2020-10-20,16.0,531
113,2020-10-21,16.0,562
114,2020-10-22,16.0,502
115,2020-10-23,16.0,529
116,2020-10-24,16.0,474
117,2020-10-25,16.0,564
118,2020-10-26,16.0,528
119,2020-10-27,17.0,513
120,2020-10-28,17.0,507
121,2020-10-29,17.0,492
122,2020-10-30,17.0,520
123,2020-10-31,17.0,462
124,2020-11-01,17.0,459
125,2020-11-02,17.0,459
126,2020-11-03,18.0,501
127,2020-11-04,18.0,502
128,2020-11-05,18.0,479
129,2020-11-06,18.0,484
130,2020-11-07,18.0,494
131,2020-11-08,18.0,490
132,2020-11-09,18.0,513
133,2020-11-10,19.0,499
134,2020-11-11,19.0,529
135,2020-11-12,19.0,520
136,2020-11-13,19.0,526
137,2020-11-14,19.0,478
138,2020-11-15,19.0,489
139,2020-11-16,19.0,593
140,2020-11-17,20.0,509
141,2020-11-18,20.0,508
142,2020-11-19,20.0,527
143,2020-11-20,20.0,523
144,2020-11-21,20.0,521
145,2020-11-22,20.0,573
146,2020-11-23,20.0,613
